page_title,book_title,book_author,book_price,book_image_link,book_detail_link,book_length,book_language,book_ASIN
Amazon.in: Short Reads,What makes an Organization Succeed? (Management Sutras Book 6),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/81iqgNSGn+L._AC_UY218_ML3_.jpg,https://www.amazon.in/makes-Organization-Succeed-Management-Sutras-ebook/dp/B01NBAC2LJ/ref=sr_1_22?qid=1576572611&s=digital-text&sr=1-22,,,
Amazon.in: Short Reads,12 Ways to Become a Great Leader (Rupa Quick Reads),Steve Chandler,0,https://m.media-amazon.com/images/I/71haht0P8wL._AC_UY218_ML3_.jpg,https://www.amazon.in/Become-Great-Leader-Quick-Reads-ebook/dp/B01MXED4PS/ref=sr_1_21?qid=1576572611&s=digital-text&sr=1-21,,,
Amazon.in: Short Reads,How to cope with Change (Management Sutras Book 4),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/71wPtt4GS2L._AC_UY218_ML3_.jpg,https://www.amazon.in/cope-Change-Management-Sutras-Book-ebook/dp/B01MQLUI3Y/ref=sr_1_29?qid=1576572611&s=digital-text&sr=1-29,,,
Amazon.in: Short Reads,Remember My Name (Quickies),Shanaya Taneja,9,https://m.media-amazon.com/images/I/81ng6wWc96L._AC_UY218_ML3_.jpg,https://www.amazon.in/Remember-Name-Quickies-Shanaya-Taneja-ebook/dp/B073RJ4C8Q/ref=sr_1_23?qid=1576572611&s=digital-text&sr=1-23,38 pages,English,B073RJ4C8Q
Amazon.in: Short Reads,Everything You Need To Know About The Gita (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71MenQiY-VL._AC_UY218_ML3_.jpg,https://www.amazon.in/Everything-Need-About-Penguin-Petit-ebook/dp/B071KJN29N/ref=sr_1_18?qid=1576572611&s=digital-text&sr=1-18,13 pages,English,B071KJN29N
Amazon.in: Short Reads,How we can be Kings even without Kingdoms (Management Sutras Book 2),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/71SGlZ5EhZL._AC_UY218_ML3_.jpg,https://www.amazon.in/Kings-without-Kingdoms-Management-Sutras-ebook/dp/B01MYPINRK/ref=sr_1_20?qid=1576572611&s=digital-text&sr=1-20,29 pages,English,B01MYPINRK
Amazon.in: Short Reads,How to Know Ourselves (Management Sutras Book 8),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/71Rtgp+U9mL._AC_UY218_ML3_.jpg,https://www.amazon.in/Know-Ourselves-Management-Sutras-Book-ebook/dp/B01N780AZW/ref=sr_1_25?qid=1576572611&s=digital-text&sr=1-25,39 pages,English,B01N780AZW
Amazon.in: Short Reads,Living by your own Rules (Management Sutras Book 3),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/71denSKnXRL._AC_UY218_ML3_.jpg,https://www.amazon.in/Living-your-Rules-Management-Sutras-ebook/dp/B01N66KALY/ref=sr_1_24?qid=1576572611&s=digital-text&sr=1-24,Aleph Book Company (1 December 2016),B01N66KALY,
Amazon.in: Short Reads,Games People Play,Shanaya Taneja,9,https://m.media-amazon.com/images/I/81RIEVyaNHL._AC_UY218_ML3_.jpg,https://www.amazon.in/Games-People-Play-Shanaya-Taneja-ebook/dp/B07663MMXM/ref=sr_1_32?qid=1576572611&s=digital-text&sr=1-32,,,
Amazon.in: Short Reads,The Surprise Birthday Gift (Quickies),Shanaya Taneja,9,https://m.media-amazon.com/images/I/81TFzARCE3L._AC_UY218_ML3_.jpg,https://www.amazon.in/Surprise-Birthday-Gift-Quickies-ebook/dp/B06XK8MMRJ/ref=sr_1_26?qid=1576572611&s=digital-text&sr=1-26,23 pages,English,B06XK8MMRJ
Amazon.in: Short Reads,Tit for Tat,Shanaya Taneja,9,https://m.media-amazon.com/images/I/81ZbQe2yjIL._AC_UY218_ML3_.jpg,https://www.amazon.in/Tit-Tat-Shanaya-Taneja-ebook/dp/B074PMBST9/ref=sr_1_30?qid=1576572611&s=digital-text&sr=1-30,,,
Amazon.in: Short Reads,Great Jungle Stories (Rupa Quick Reads),Ruskin Bond,10.50,https://m.media-amazon.com/images/I/91+nKK4GMuL._AC_UY218_ML3_.jpg,https://www.amazon.in/Great-Jungle-Stories-Quick-Reads-ebook/dp/B01N0GLW5Q/ref=sr_1_28?qid=1576572611&s=digital-text&sr=1-28,22 pages,English,B01N0GLW5Q
Amazon.in: Short Reads,How to Succeed at Business (Management Sutras Book 7),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/71Yj4W6WlxL._AC_UY218_ML3_.jpg,https://www.amazon.in/Succeed-Business-Management-Sutras-Book-ebook/dp/B01N66K8WV/ref=sr_1_27?qid=1576572611&s=digital-text&sr=1-27,38 pages,English,B01N66K8WV
Amazon.in: Short Reads,"Hindu Mother, Muslim Son (Penguin Petit)",Sudha Murty,15.75,https://m.media-amazon.com/images/I/71nAVdhbS9L._AC_UY218_ML3_.jpg,https://www.amazon.in/Hindu-Mother-Muslim-Penguin-Petit-ebook/dp/B071KJXBLT/ref=sr_1_31?qid=1576572611&s=digital-text&sr=1-31,16 pages,English,B071KJXBLT
Amazon.in: Short Reads,"Wet at 40,000 Feet (Quickies)",Shanaya Taneja,9,https://m.media-amazon.com/images/I/819KRpH4AUL._AC_UY218_ML3_.jpg,https://www.amazon.in/Wet-40-000-Feet-Quickies-ebook/dp/B071VMG8MG/ref=sr_1_41?qid=1576572615&s=digital-text&sr=1-41,,,
Amazon.in: Short Reads,A Woman's Ritual (Penguin Petit),Sudha Murty,15.75,https://m.media-amazon.com/images/I/81YWsJHhZzL._AC_UY218_ML3_.jpg,https://www.amazon.in/Womans-Ritual-Penguin-Petit-ebook/dp/B0721WCCC4/ref=sr_1_38?qid=1576572615&s=digital-text&sr=1-38,,,
Amazon.in: Short Reads,Putting People First (Management Sutras Book 10),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/71F3XADmW-L._AC_UY218_ML3_.jpg,https://www.amazon.in/Putting-People-First-Management-Sutras-ebook/dp/B01N2JL6S8/ref=sr_1_35?qid=1576572615&s=digital-text&sr=1-35,,,
Amazon.in: Short Reads,Normal Isn’t Boring,Shanaya Taneja,9,https://m.media-amazon.com/images/I/71l3VdmtxcL._AC_UY218_ML3_.jpg,https://www.amazon.in/Normal-Isnt-Boring-Shanaya-Taneja-ebook/dp/B07VDY7JWK/ref=sr_1_43?qid=1576572615&s=digital-text&sr=1-43,,,
Amazon.in: Short Reads,As Death Stared Back,Ajinkya Bhasme,250,https://m.media-amazon.com/images/I/81ZUbK5-c3L._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_digital-text_sr_pg3_2?ie=UTF8&adId=A03604011956GJS9O5PSA&url=%2FDeath-Stared-Back-Ajinkya-Bhasme%2Fdp%2F938713136X%2Fref%3Dsr_1_34_sspa%3Fqid%3D1576572615%26s%3Ddigital-text%26sr%3D1-34-spons%26psc%3D1&qualifier=1576572615&id=8205167360500550&widgetName=sp_atf_browse,,,
Amazon.in: Short Reads,What Shiva Told Shakti: (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/81s6sd5ps3L._AC_UY218_ML3_.jpg,https://www.amazon.in/What-Shiva-Told-Shakti-Penguin-ebook/dp/B076F8P94W/ref=sr_1_45?qid=1576572615&s=digital-text&sr=1-45,,,
Amazon.in: Short Reads,Call Before You Come (Quickies),Shanaya Taneja,0,https://m.media-amazon.com/images/I/81AzN-w4auL._AC_UY218_ML3_.jpg,https://www.amazon.in/Call-Before-You-Come-Quickies-ebook/dp/B072K2Q8K4/ref=sr_1_44?qid=1576572615&s=digital-text&sr=1-44,,,
Amazon.in: Short Reads,Daily Prayers for Unbelievers,Khushwant Singh,0,https://m.media-amazon.com/images/I/91Be0hX7XLL._AC_UY218_ML3_.jpg,https://www.amazon.in/Daily-Prayers-Unbelievers-Khushwant-Singh-ebook/dp/B01NBABY4I/ref=sr_1_39?qid=1576572615&s=digital-text&sr=1-39,34 pages,English,B01NBABY4I
Amazon.in: Short Reads,Shiva: The Destroyer (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71Uon9VPLrL._AC_UY218_ML3_.jpg,https://www.amazon.in/Shiva-Destroyer-Penguin-Devdutt-Pattanaik-ebook/dp/B071KJX1MM/ref=sr_1_48?qid=1576572615&s=digital-text&sr=1-48,,,
Amazon.in: Short Reads,Portrait of a Serial Killer,Khushwant Singh,0,https://m.media-amazon.com/images/I/71PQrbwkVNL._AC_UY218_ML3_.jpg,https://www.amazon.in/Portrait-Serial-Killer-Khushwant-Singh-ebook/dp/B01MXO0MM3/ref=sr_1_47?qid=1576572615&s=digital-text&sr=1-47,,,
Amazon.in: Short Reads,How to feel empowered (Management Sutras Book 9),Devdutt Pattanaik,10.50,https://m.media-amazon.com/images/I/71-AW34x6pL._AC_UY218_ML3_.jpg,https://www.amazon.in/feel-empowered-Management-Sutras-Book-ebook/dp/B01N1I3DJ0/ref=sr_1_36?qid=1576572615&s=digital-text&sr=1-36,26 pages,English,B01N1I3DJ0
Amazon.in: Short Reads,Just Tinder Me Baby,Shanaya Taneja,9,https://m.media-amazon.com/images/I/81Brvptd9AL._AC_UY218_ML3_.jpg,https://www.amazon.in/Just-Tinder-Baby-Shanaya-Taneja-ebook/dp/B07662YSK3/ref=sr_1_46?qid=1576572615&s=digital-text&sr=1-46,,,
Amazon.in: Short Reads,Vishnu: The Protector (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71QAsSt5liL._AC_UY218_ML3_.jpg,https://www.amazon.in/Vishnu-Protector-Penguin-Devdutt-Pattanaik-ebook/dp/B0721WWKKL/ref=sr_1_40?qid=1576572615&s=digital-text&sr=1-40,12 pages,English,B0721WWKKL
Amazon.in: Short Reads,Susanna’s Seven Husbands,Ruskin Bond,0,https://m.media-amazon.com/images/I/81rk6gbs46L._AC_UY218_ML3_.jpg,https://www.amazon.in/Susannas-Seven-Husbands-Ruskin-Bond-ebook/dp/B01N97CJBW/ref=sr_1_37?qid=1576572615&s=digital-text&sr=1-37,10 pages,English,B01N97CJBW
Amazon.in: Short Reads,Who Created The Universe? (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71wrR9LoHfL._AC_UY218_ML3_.jpg,https://www.amazon.in/Who-Created-Universe-Penguin-Petit-ebook/dp/B071XH2NVM/ref=sr_1_50?qid=1576572615&s=digital-text&sr=1-50,,,
Amazon.in: Short Reads,I Have No Secrets,Shanaya Taneja,9,https://m.media-amazon.com/images/I/712Gao2GwZL._AC_UY218_ML3_.jpg,https://www.amazon.in/Have-No-Secrets-Shanaya-Taneja-ebook/dp/B07X4WWR53/ref=sr_1_42?qid=1576572615&s=digital-text&sr=1-42,16 pages,English,B07X4WWR53
Amazon.in: Short Reads,Operation Dragon Strike: An Asian Covert Ops Spy Thriller,Rahul Badami,299,https://m.media-amazon.com/images/I/814nSSWzzfL._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_digital-text_sr_pg3_1?ie=UTF8&adId=A032291419CDNIK00RWFT&url=%2FOperation-Dragon-Strike-Covert-Thriller%2Fdp%2F9353821800%2Fref%3Dsr_1_33_sspa%3Fqid%3D1576572615%26s%3Ddigital-text%26sr%3D1-33-spons%26psc%3D1&qualifier=1576572615&id=8205167360500550&widgetName=sp_atf_browse,9353821800,,
Amazon.in: Short Reads,Daughters Of The Brothel: Stories from Delhi's Red-light District,Deepak Yadav,160,https://m.media-amazon.com/images/I/71cx-xCRzML._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_digital-text_sr_pg3_2?ie=UTF8&adId=A09385222K63IXQW90X2V&url=%2FDaughters-Brothel-Stories-Red-light-District%2Fdp%2F8194202191%2Fref%3Dsr_1_52_sspa%3Fqid%3D1576572615%26s%3Ddigital-text%26sr%3D1-52-spons%26psc%3D1&qualifier=1576572615&id=8205167360500550&widgetName=sp_btf_browse,,,
Amazon.in: Short Reads,A Match Made In Heaven: Marriage (Penguin Petit),Devdutt Pattanaik,15,https://m.media-amazon.com/images/I/71zvtqr9i7L._AC_UY218_ML3_.jpg,https://www.amazon.in/Match-Made-Heaven-Marriage-Penguin-ebook/dp/B071KJW2WV/ref=sr_1_49?qid=1576572615&s=digital-text&sr=1-49,11 pages,English,B071KJW2WV
Amazon.in: Short Reads,The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,113,https://m.media-amazon.com/images/I/71V1ikEXJsL._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_digital-text_sr_pg3_1?ie=UTF8&adId=A102059328NOD0KMUF0VB&url=%2FComplete-Novels-Sherlock-Holmes%2Fdp%2F8175994312%2Fref%3Dsr_1_51_sspa%3Fqid%3D1576572615%26s%3Ddigital-text%26sr%3D1-51-spons%26psc%3D1&qualifier=1576572615&id=8205167360500550&widgetName=sp_btf_browse,English,19.5 x 12.5 x 3.6 cm,
Amazon.in: Short Reads,The Call (Penguin Petit),Sudha Murty,15.75,https://m.media-amazon.com/images/I/71Dj78ZyeDL._AC_UY218_ML3_.jpg,https://www.amazon.in/Call-Penguin-Petit-Sudha-Murty-ebook/dp/B0721WNYFW/ref=sr_1_68?qid=1576572619&s=digital-text&sr=1-68,,,
Amazon.in: Short Reads,Love on a Train (Penguin Petit),Sudha Murty,15,https://m.media-amazon.com/images/I/71KNbR--JFL._AC_UY218_ML3_.jpg,https://www.amazon.in/Train-Penguin-Petit-Sudha-Murty-ebook/dp/B072KR7VWK/ref=sr_1_67?qid=1576572619&s=digital-text&sr=1-67,,,
Amazon.in: Short Reads,The Politics of Ram: (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71qf7NZkbkL._AC_UY218_ML3_.jpg,https://www.amazon.in/Politics-Ram-Penguin-Petit-ebook/dp/B076F5Y8T7/ref=sr_1_70?qid=1576572619&s=digital-text&sr=1-70,,,
Amazon.in: Short Reads,Snake Trouble (Penguin Petit),Ruskin Bond,15.75,https://m.media-amazon.com/images/I/91pMbZBDuIL._AC_UY218_ML3_.jpg,https://www.amazon.in/Snake-Trouble-Penguin-Petit-Ruskin-ebook/dp/B072KQ68RQ/ref=sr_1_73?qid=1576572619&s=digital-text&sr=1-73,,,
Amazon.in: Short Reads,The Birth of Ram and Sita: (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/710OscjxcpL._AC_UY218_ML3_.jpg,https://www.amazon.in/Birth-Ram-Sita-Penguin-Petit-ebook/dp/B076F78SBJ/ref=sr_1_74?qid=1576572619&s=digital-text&sr=1-74,,,
Amazon.in: Short Reads,As Death Stared Back,Ajinkya Bhasme,250,https://m.media-amazon.com/images/I/81ZUbK5-c3L._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_digital-text_sr_pg5_2?ie=UTF8&adId=A03604011956GJS9O5PSA&url=%2FDeath-Stared-Back-Ajinkya-Bhasme%2Fdp%2F938713136X%2Fref%3Dsr_1_66_sspa%3Fqid%3D1576572619%26s%3Ddigital-text%26sr%3D1-66-spons%26psc%3D1&qualifier=1576572619&id=1411973379579185&widgetName=sp_atf_browse,,,
Amazon.in: Short Reads,Ram: A God on Earth (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/81DWRagBRLL._AC_UY218_ML3_.jpg,https://www.amazon.in/Ram-God-Earth-Penguin-Petit-ebook/dp/B076F4NDV5/ref=sr_1_77?qid=1576572619&s=digital-text&sr=1-77,,,
Amazon.in: Short Reads,Ravana: A Worthy Opponent (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71O-dGoFaWL._AC_UY218_ML3_.jpg,https://www.amazon.in/Ravana-Worthy-Opponent-Penguin-Petit-ebook/dp/B076F4NQ7V/ref=sr_1_72?qid=1576572619&s=digital-text&sr=1-72,25 pages,English,B076F4NQ7V
Amazon.in: Short Reads,Why Is The Ganga Holy? (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71FSyBMPSCL._AC_UY218_ML3_.jpg,https://www.amazon.in/Why-Ganga-Holy-Penguin-Petit-ebook/dp/B0721WS62M/ref=sr_1_69?qid=1576572619&s=digital-text&sr=1-69,12 pages,English,B0721WS62M
Amazon.in: Short Reads,Hanuman in Lanka: (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71eBF1MdgjL._AC_UY218_ML3_.jpg,https://www.amazon.in/Hanuman-Lanka-Penguin-Devdutt-Pattanaik-ebook/dp/B076F4XX26/ref=sr_1_71?qid=1576572619&s=digital-text&sr=1-71,86 pages,English,B076F4XX26
Amazon.in: Short Reads,Mary Joseph: (Penguin Petit),Khushwant Singh,15.75,https://m.media-amazon.com/images/I/71zcamjfxXL._AC_UY218_ML3_.jpg,https://www.amazon.in/Mary-Joseph-Penguin-Khushwant-Singh-ebook/dp/B071Z3SX77/ref=sr_1_79?qid=1576572619&s=digital-text&sr=1-79,,,
Amazon.in: Short Reads,Molly Gomes: (Penguin Petit),Khushwant Singh,15.75,https://m.media-amazon.com/images/I/81D40pqADhL._AC_UY218_ML3_.jpg,https://www.amazon.in/Molly-Gomes-Penguin-Khushwant-Singh-ebook/dp/B071HQ34C5/ref=sr_1_76?qid=1576572619&s=digital-text&sr=1-76,53 pages,English,B071HQ34C5
Amazon.in: Short Reads,Yama: Heaven And Hell (Penguin Petit),Devdutt Pattanaik,15,https://m.media-amazon.com/images/I/71IfUretFkL._AC_UY218_ML3_.jpg,https://www.amazon.in/Yama-Heaven-Hell-Penguin-Petit-ebook/dp/B071XH2LY9/ref=sr_1_75?qid=1576572619&s=digital-text&sr=1-75,12 pages,English,B071XH2LY9
Amazon.in: Short Reads,The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,113,https://m.media-amazon.com/images/I/71V1ikEXJsL._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_digital-text_sr_pg5_1?ie=UTF8&adId=A102059328NOD0KMUF0VB&url=%2FComplete-Novels-Sherlock-Holmes%2Fdp%2F8175994312%2Fref%3Dsr_1_83_sspa%3Fqid%3D1576572619%26s%3Ddigital-text%26sr%3D1-83-spons%26psc%3D1&qualifier=1576572619&id=1411973379579185&widgetName=sp_btf_browse,,,
Amazon.in: Short Reads,Four Brides for Four Brothers: (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/710LsnOx+6L._AC_UY218_ML3_.jpg,https://www.amazon.in/Four-Brides-Brothers-Penguin-Petit-ebook/dp/B076F4X99P/ref=sr_1_81?qid=1576572619&s=digital-text&sr=1-81,62 pages,English,B076F4X99P
Amazon.in: Short Reads,Daughters Of The Brothel: Stories from Delhi's Red-light District,Deepak Yadav,160,https://m.media-amazon.com/images/I/71cx-xCRzML._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_digital-text_sr_pg5_2?ie=UTF8&adId=A09385222K63IXQW90X2V&url=%2FDaughters-Brothel-Stories-Red-light-District%2Fdp%2F8194202191%2Fref%3Dsr_1_84_sspa%3Fqid%3D1576572619%26s%3Ddigital-text%26sr%3D1-84-spons%26psc%3D1&qualifier=1576572619&id=1411973379579185&widgetName=sp_btf_browse,,,
Amazon.in: Short Reads,Devlok: Food Of The Gods (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/81XjPSaJq2L._AC_UY218_ML3_.jpg,https://www.amazon.in/Devlok-Food-Gods-Penguin-Petit-ebook/dp/B071GXWGZG/ref=sr_1_78?qid=1576572619&s=digital-text&sr=1-78,11 pages,English,B071GXWGZG
Amazon.in: Short Reads,Operation Dragon Strike: An Asian Covert Ops Spy Thriller,Rahul Badami,299,https://m.media-amazon.com/images/I/814nSSWzzfL._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_digital-text_sr_pg5_1?ie=UTF8&adId=A032291419CDNIK00RWFT&url=%2FOperation-Dragon-Strike-Covert-Thriller%2Fdp%2F9353821800%2Fref%3Dsr_1_65_sspa%3Fqid%3D1576572619%26s%3Ddigital-text%26sr%3D1-65-spons%26psc%3D1&qualifier=1576572619&id=1411973379579185&widgetName=sp_atf_browse,9353821800,,
Amazon.in: Short Reads,Weapons of the Gods (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/713s92Z5HiL._AC_UY218_ML3_.jpg,https://www.amazon.in/Weapons-Penguin-Petit-Devdutt-Pattanaik-ebook/dp/B0721WSYYF/ref=sr_1_80?qid=1576572619&s=digital-text&sr=1-80,12 pages,English,B0721WSYYF
Amazon.in: Short Reads,The Colour Divine (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/81pH4GRJLBL._AC_UY218_ML3_.jpg,https://www.amazon.in/Colour-Divine-Penguin-Petit-ebook/dp/B071XGRS72/ref=sr_1_82?qid=1576572619&s=digital-text&sr=1-82,12 pages,English,B071XGRS72
Amazon.in: Short Reads,Ram: The Son (Penguin Petit),Devdutt Pattanaik,15.75,https://m.media-amazon.com/images/I/71nCAALBfyL._AC_UY218_ML3_.jpg,https://www.amazon.in/Ram-Penguin-Petit-Devdutt-Pattanaik-ebook/dp/B076F42SZ4/ref=sr_1_84?qid=1576572623&s=digital-text&sr=1-84,,,
